,is_retweet,u_followers,u_friends,u_statuses,u_favorites,rt_u_followers,rt_u_statuses
is_retweet,1,-0.08506578519779269,-0.03379010608450643,-0.15700521104943357,0.17449606411655624,0,0
u_followers,-0.08506578519779269,1,0.6807741967461909,0.06411500556181556,0.06699342605139873,-0.011517343872052797,-0.04998092583744169
u_friends,-0.03379010608450643,0.6807741967461909,1,0.11509684836602237,0.11705080573530438,-0.0717355088086333,-0.031158491107433545
u_statuses,-0.15700521104943357,0.06411500556181556,0.11509684836602237,1,0.05280291968289801,0.04528324556816867,0.04734758306601821
u_favorites,0.17449606411655624,0.06699342605139873,0.11705080573530438,0.05280291968289801,1,-0.013398994220291671,0.003098755615716291
rt_u_followers,0,-0.011517343872052797,-0.0717355088086333,0.04528324556816867,-0.013398994220291671,1,0.229026344963923
rt_u_statuses,0,-0.04998092583744169,-0.031158491107433545,0.04734758306601821,0.003098755615716291,0.229026344963923,1
