,x,y
0,-26326.1924936824,37228.26701634305
1,-17343.161703954127,9235.983658282525
2,-22660.41142839986,34502.024311892485
3,861.9321208173944,2855.5155628197053
4,-23797.654414488617,37893.74043548699
5,-22935.50643505799,36409.06129852685
6,3052.5222998400413,32453.437644512367
7,58576.352405161204,-75987.76524075872
8,-24146.618081837776,38054.48151624805
9,-21730.169496852446,35458.560494376114
10,6156.511123741062,-191890.44782878456
11,-33899.2934378007,22500.944609434602
12,-25209.47890291923,30315.084743291885
13,-24245.324632414453,38814.63395555187
14,-11371.261812022865,20080.266073272047
15,-23672.742712224073,38247.93124592504
16,-23184.14174204573,35893.8064198507
17,-21669.133551467756,29849.219745340928
18,-13743.732023480427,25337.201029622953
19,-29223.50047960268,25069.99379242206
20,-26040.68038007386,9536.33635498247
21,-26238.85984103287,6731.299897140474
22,-24190.43744704043,35432.19601861709
23,-4432.8353258462985,7490.957175234309
24,-20787.307384179225,33630.56978302442
25,-33043.247130602496,19568.258892842703
26,-26962.780199759654,16840.961844595255
27,-21097.698711163353,-1706.9989253882165
28,210.96102400837466,-4697.182691606992
29,60883.12682944932,-66114.46467244976
30,-28681.0407310506,27383.917436121166
31,-24312.616065919778,38902.78682125085
32,-15535.90982654776,28276.993539085255
33,-8613.625276737119,-68456.66582251962
34,-16243.859740249558,29077.834350320783
35,-26013.774988253324,37201.234064846285
36,-11268.602383267063,1557.503415747183
37,-26438.669228143117,29773.365945103003
38,805706.5084984596,-597548.0047842623
39,-28362.647107209228,18073.563960122603
40,-27065.211771979477,32211.594168462936
41,7678.5363700208945,-1451.3646368778832
42,-2674.9293230630674,-3598.127405478181
43,-21244.60987669287,-97146.66668357009
44,-24350.772860189252,38836.39687146197
45,-18798.42528343561,27077.251313139135
46,-84526.8512212904,-7530.456190784646
47,2299.542829821357,1511.3784434745921
48,-23700.600354576767,37657.61728667186
49,-24847.5232633711,36865.74249720294
50,19777.232446273312,-15480.72181117699
51,-22893.93932999552,34178.26822837712
52,-1755.7646804320132,9533.773657659145
53,-9215.799127333932,31866.801479420996
54,-19590.83878798758,33246.84882782177
55,-19452.347919535492,12532.357157244553
56,-24073.399157239684,38564.01033279496
57,-18849.47647632057,36486.027343480724
58,-28762.191835374135,21756.44627142935
59,39300.64460371458,-88180.92414452665
60,94675.45792166723,-111196.40803420928
61,-24073.630809085174,38422.009743629096
62,-23799.52811205413,37022.1433837308
63,-20699.11672058717,34701.76332392549
64,-24880.05087473321,37762.202849697416
65,-24361.010235021065,38109.15762542366
66,-22532.730343140258,36765.7530749242
67,2819.6540843740613,-12137.380147082102
68,-26987.688534240693,32760.283584321547
69,-18937.6161620494,27950.451109346177
70,-14030.318475308854,-44863.60600566256
71,-17059.244999533952,36775.85086670882
72,9500.78840145465,-5816.14565248328
73,7269.025613831968,-29109.30351386126
74,-46075.13295530736,-21209.539569382156
75,-23170.75830918297,26694.511650829387
76,-23668.656551863216,20559.984566342035
77,-9491.77551777665,20365.97431166441
78,-13026.181200473096,12643.938403260232
79,-24790.89857567805,25268.223510603522
80,4018.6020868188193,-5500.407607955471
81,4854.880241880222,-114694.69761912446
82,-23379.75440817954,36663.45152666498
83,-12417.277130219034,23928.715315123984
84,-22595.93840593258,34758.73691080618
85,-24279.54336034648,37952.736148869444
86,-24559.634084741883,37300.876575863396
87,22686.187588878194,-60551.59603881897
88,-17117.348741559086,25906.632015100753
89,8563.204476868612,-3589.3994632443355
